Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
blackforestlabs/flux-3/text-to-video,FLUX.3 Video,Black Forest Labs,text-to-video,10.2,$0.17/s @720p x 60s,480,"auto, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 (+5)","720p, 1080p","auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/text-to-video/draft,FLUX.3 Video,Black Forest Labs,text-to-video,3.6,$0.06/s @720p x 60s,480,"auto, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 (+5)",720p (from docs),"auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-video-upscale,FLUX.3 Video,Black Forest Labs,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,"1080p, 2k, 4k (from docs)",fixed,No,No,No,No — single shot,upscale/restore,No,"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
fal-ai/amt-interpolation,Frame interpolation,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,interpolation,No,"Classic optical-flow interpolation (RIFE, FILM, AMT) — nearly free and deterministic.",Artifacts on fast motion and occlusion; no detail recovery.,"Smoothing low-fps AI output, cheap slow-motion.",Quality-critical delivery (Topaz Aion is the paid answer).
fal-ai/film/video,Frame interpolation,,video-to-video,,billed per GPU compute-second (varies with runtime),4,0.1–0.5 s (via num_frames),"low, medium, high, maximum",fixed,No,No,No,No — single shot,interpolation,No,"Classic optical-flow interpolation (RIFE, FILM, AMT) — nearly free and deterministic.",Artifacts on fast motion and occlusion; no detail recovery.,"Smoothing low-fps AI output, cheap slow-motion.",Quality-critical delivery (Topaz Aion is the paid answer).
fal-ai/rife/video,Frame interpolation,,video-to-video,,billed per GPU compute-second (varies with runtime),4,0.1–0.5 s (via num_frames),fixed,fixed,No,No,No,No — single shot,interpolation,No,"Classic optical-flow interpolation (RIFE, FILM, AMT) — nearly free and deterministic.",Artifacts on fast motion and occlusion; no detail recovery.,"Smoothing low-fps AI output, cheap slow-motion.",Quality-critical delivery (Topaz Aion is the paid answer).
fal-ai/framepack,FramePack,,image-to-video,2.0,$0.0333/s x 60s,900,1.2–37.5 s (via num_frames),"720p, 480p","16:9, 9:16",No,Yes,No,No — single shot,generate,No,"Autoregressive generation keeps memory flat, so it handles longer clips cheaply; flf2v variant supports end frames.","Slow, 30fps-but-soft output, and drift accumulates over long generations.","Long cheap autoregressive takes on weak hardware, first/last-frame in-betweens.",Sharpness-critical or fast-motion shots.
fal-ai/framepack/f1,FramePack,,image-to-video,2.0,$0.0333/s x 60s,900,1.2–37.5 s (via num_frames),"720p, 480p","16:9, 9:16",No,Yes,No,No — single shot,generate,No,"Autoregressive generation keeps memory flat, so it handles longer clips cheaply; flf2v variant supports end frames.","Slow, 30fps-but-soft output, and drift accumulates over long generations.","Long cheap autoregressive takes on weak hardware, first/last-frame in-betweens.",Sharpness-critical or fast-motion shots.
fal-ai/framepack/flf2v,FramePack,,image-to-video,2.0,$0.0333/s x 60s,1800,1.2–75.0 s (via num_frames),"720p, 480p","16:9, 9:16",No,Yes,Yes,No — single shot,generate,No,"Autoregressive generation keeps memory flat, so it handles longer clips cheaply; flf2v variant supports end frames.","Slow, 30fps-but-soft output, and drift accumulates over long generations.","Long cheap autoregressive takes on weak hardware, first/last-frame in-betweens.",Sharpness-critical or fast-motion shots.
google/gemini-omni-flash,Gemini Omni Flash,Google,text-to-video,7.5,$0.125/s @720p x 60s,240,3–10 s (continuous),720p (from docs),"16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),"Conversational video editing — generate, then refine through natural-language turns; Gemini world-knowledge grounding with physics-aware output; 3–10 s at 720p/24fps.","Preview model: 10 s cap, 16:9/9:16 only, aggressive Google safety filtering.","Conversational iterate-and-edit workflows ('now make it dusk'), physics-plausible explainer and product clips, Workspace/Vids-adjacent content.","Anything over 10 s, formats beyond 16:9/9:16, strict-brand content that trips Google's filters."
google/gemini-omni-flash/edit,Gemini Omni Flash,Google,video-to-video,7.8,$0.13/s @720p x 60s,,fixed / not exposed,720p (from docs),fixed,No,No,No,No — single shot,edit/restyle,Yes — dialogue via prompt (native audio),"Conversational video editing — generate, then refine through natural-language turns; Gemini world-knowledge grounding with physics-aware output; 3–10 s at 720p/24fps.","Preview model: 10 s cap, 16:9/9:16 only, aggressive Google safety filtering.","Conversational iterate-and-edit workflows ('now make it dusk'), physics-plausible explainer and product clips, Workspace/Vids-adjacent content.","Anything over 10 s, formats beyond 16:9/9:16, strict-brand content that trips Google's filters."
google/gemini-omni-flash/image-to-video,Gemini Omni Flash,Google,image-to-video,7.8,$0.13/s @720p x 60s,240,3–10 s (continuous),720p (from docs),"16:9, 9:16",No,Yes,No,No — single shot,generate,Yes — dialogue via prompt (native audio),"Conversational video editing — generate, then refine through natural-language turns; Gemini world-knowledge grounding with physics-aware output; 3–10 s at 720p/24fps.","Preview model: 10 s cap, 16:9/9:16 only, aggressive Google safety filtering.","Conversational iterate-and-edit workflows ('now make it dusk'), physics-plausible explainer and product clips, Workspace/Vids-adjacent content.","Anything over 10 s, formats beyond 16:9/9:16, strict-brand content that trips Google's filters."
google/gemini-omni-flash/reference-to-video,Gemini Omni Flash,Google,image-to-video,7.8,$0.13/s @720p x 60s,240,3–10 s (continuous),720p (from docs),"16:9, 9:16",No,Yes (multi-image / reference),No,No — single shot,generate,Yes — dialogue via prompt (native audio),"Conversational video editing — generate, then refine through natural-language turns; Gemini world-knowledge grounding with physics-aware output; 3–10 s at 720p/24fps.","Preview model: 10 s cap, 16:9/9:16 only, aggressive Google safety filtering.","Conversational iterate-and-edit workflows ('now make it dusk'), physics-plausible explainer and product clips, Workspace/Vids-adjacent content.","Anything over 10 s, formats beyond 16:9/9:16, strict-brand content that trips Google's filters."
xai/grok-imagine-video/edit-video,Grok Imagine,xAI,video-to-video,4.8,$0.08/s @720p x 60s,,fixed / not exposed,"auto, 480p, 720p",fixed,No,No,No,No — single shot,edit/restyle,No,Very cheap audio-included generation ($0.07/s at 720p); fast turnaround.,"Lower fidelity than 1.5, limited duration and aspect control.",Cheap audio-included drafts inside the X ecosystem.,Fine-controlled or high-fidelity work — 1.5 supersedes it.
xai/grok-imagine-video/extend-video,Grok Imagine,xAI,video-to-video,4.8,$0.08/s @720p x 60s,240,2–10 s (continuous),"480p, 720p (from docs)",fixed,No,No,No,No — single shot,extend,No,Very cheap audio-included generation ($0.07/s at 720p); fast turnaround.,"Lower fidelity than 1.5, limited duration and aspect control.",Cheap audio-included drafts inside the X ecosystem.,Fine-controlled or high-fidelity work — 1.5 supersedes it.
xai/grok-imagine-video/image-to-video,Grok Imagine,xAI,image-to-video,4.2,$0.07./s @720p x 60s,360,1–15 s (continuous),"480p, 720p","auto, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16",No,Yes,No,No — single shot,generate,No,Very cheap audio-included generation ($0.07/s at 720p); fast turnaround.,"Lower fidelity than 1.5, limited duration and aspect control.",Cheap audio-included drafts inside the X ecosystem.,Fine-controlled or high-fidelity work — 1.5 supersedes it.
xai/grok-imagine-video/reference-to-video,Grok Imagine,xAI,image-to-video,4.2,$0.07./s @720p x 60s,240,1–10 s (continuous),"480p, 720p","16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16",No,No,No,No — single shot,generate,No,Very cheap audio-included generation ($0.07/s at 720p); fast turnaround.,"Lower fidelity than 1.5, limited duration and aspect control.",Cheap audio-included drafts inside the X ecosystem.,Fine-controlled or high-fidelity work — 1.5 supersedes it.
xai/grok-imagine-video/text-to-video,Grok Imagine,xAI,text-to-video,4.2,$0.07./s @720p x 60s,360,1–15 s (continuous),"480p, 720p","16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16",No,No (text-only),No,No — single shot,generate,No,Very cheap audio-included generation ($0.07/s at 720p); fast turnaround.,"Lower fidelity than 1.5, limited duration and aspect control.",Cheap audio-included drafts inside the X ecosystem.,Fine-controlled or high-fidelity work — 1.5 supersedes it.
xai/grok-imagine-video/v1.5/image-to-video,Grok Imagine 1.5,xAI,image-to-video,8.4,$0.14/s @720p x 60s,360,1–15 s (continuous),"480p, 720p, 1080p",inherits input image,No,Yes,No,No — single shot,generate,Yes — dialogue via prompt (native audio),Debuted #1 on the Image-to-Video Arena — animates stills while preserving composition and identity; audio at every tier; editing mode for wardrobe/object swaps; clip continuation from the last frame.,720p ceiling on i2v output; limited camera-path control; 15 s cap; X-ecosystem moderation is idiosyncratic — and violations still bill.,"Animating stills while preserving composition and identity (arena-topping i2v), wardrobe/object edit variants, clip-continuation chains, meme-speed social with audio.","Choreographed camera paths, 1080p+ masters from i2v (720p ceiling), brand-safety-critical pipelines."
xai/grok-imagine-video/v1.5/reference-to-video,Grok Imagine 1.5,xAI,image-to-video,8.4,$0.14/s @720p x 60s,360,1–15 s (continuous),"480p, 720p","16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16",No,No,No,No — single shot,generate,Yes — dialogue via prompt (native audio),Debuted #1 on the Image-to-Video Arena — animates stills while preserving composition and identity; audio at every tier; editing mode for wardrobe/object swaps; clip continuation from the last frame.,720p ceiling on i2v output; limited camera-path control; 15 s cap; X-ecosystem moderation is idiosyncratic — and violations still bill.,"Animating stills while preserving composition and identity (arena-topping i2v), wardrobe/object edit variants, clip-continuation chains, meme-speed social with audio.","Choreographed camera paths, 1080p+ masters from i2v (720p ceiling), brand-safety-critical pipelines."
xai/grok-imagine-video/v1.5/text-to-video,Grok Imagine 1.5,xAI,text-to-video,8.4,$0.14/s @720p x 60s,360,1–15 s (continuous),"480p, 720p, 1080p","16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16",No,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),Debuted #1 on the Image-to-Video Arena — animates stills while preserving composition and identity; audio at every tier; editing mode for wardrobe/object swaps; clip continuation from the last frame.,720p ceiling on i2v output; limited camera-path control; 15 s cap; X-ecosystem moderation is idiosyncratic — and violations still bill.,"Animating stills while preserving composition and identity (arena-topping i2v), wardrobe/object edit variants, clip-continuation chains, meme-speed social with audio.","Choreographed camera paths, 1080p+ masters from i2v (720p ceiling), brand-safety-critical pipelines."
fal-ai/minimax/hailuo-02-fast/image-to-video,Hailuo 02,Minimax,image-to-video,1.02,$0.017/s x 60s,240,"6, 10 s",fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Best-in-class physical motion (the 'gymnast' benchmark model); very cheap standard tier at $0.045/s.,"768p standard / 1080p pro only, no aspect control, no audio, fixed durations.","Human-motion stress tests, cheap character b-roll.","Aspect-controlled deliverables, audio content."
